event_date,industry,industry_label,industry_ticker,n_posts,n_kol,signal_sum,signal_mean,sentiment_sum,influence_sum,ind_ret_5m,ind_ret_1h,ind_ret_1d,ind_ret_5d,ind_ret_20d,signal_iw
2026-05-13,ai_tech,AI / 大模型,QQQ,27,13,2.2677889170609715,0.08399218211336931,3.2844,18.548358247941035,0.0001462728426045149,0.0008880681838522407,0.0071077162744499,,,0.12226359264506377
2026-05-13,ai_tools,AI 工具 / Agent,QQQ,5,2,1.0988195832762866,0.21976391665525732,0.2874,15.42914912324882,0.0,-0.00062881889237964,0.0071077162744499,,,0.0712171212099164
2026-05-13,crypto,加密,BTC-USD,5,2,3.2605252132683304,0.6521050426536661,0.6898,18.605582661973564,0.00010013282250793793,-0.00105643463132252,0.0223788764707975,,,0.17524445605953812
2026-05-14,ai_tech,AI / 大模型,QQQ,30,11,-0.24162870897486566,-0.008054290299162188,2.8705,28.445781326294117,0.00018138212788453996,0.00068146154928762,-0.015087714031981,,,-0.008494360067076588
2026-05-14,ai_tools,AI 工具 / Agent,QQQ,15,3,1.667404472919105,0.111160298194607,0.5510999999999999,54.61156032346614,9.131183852493999e-05,-0.005147049883818607,-0.015087714031981,,,0.030532078978205552
2026-05-14,crypto,加密,BTC-USD,13,4,6.952079375936749,0.5347753366105191,1.8058,51.94514293409139,-0.00015233537970196157,0.001749264263420077,-0.024497713637975902,,,0.13383502254980081
2026-05-15,ai_tech,AI / 大模型,QQQ,58,16,9.279113498595034,0.15998471549301782,6.888,48.51292020245545,3.8909333053324946e-05,2.613739837853563e-06,,,,0.19127097399767287
2026-05-15,ai_tools,AI 工具 / Agent,QQQ,15,3,-4.192951021685188,-0.2795300681123459,-1.437,49.249340031763275,2.481270975253334e-05,0.0006032733544921867,,,,-0.08513720222404912
2026-05-15,crypto,加密,BTC-USD,12,4,7.588987491264368,0.6324156242720307,2.1387,49.24681976465799,-2.356867936459895e-05,-0.0024932927945550583,-0.012895825237067999,,,0.15410106738934257
2026-05-16,ai_tech,AI / 大模型,QQQ,85,14,14.956012381104182,0.17595308683651978,14.0691,70.23432725830813,,,,,,0.21294448120929374
2026-05-16,ai_tools,AI 工具 / Agent,QQQ,7,2,0.0701749611906019,0.010024994455800271,0.01930000000000001,25.504715849187598,,,,,,0.002751450422171129
2026-05-16,crypto,加密,BTC-USD,20,5,8.834812806340912,0.4417406403170456,2.6773,70.4754413900514,-7.580213476280395e-06,-0.0007501065952520321,-0.012895825237068,,,0.12536016280400436
2026-05-17,ai_tech,AI / 大模型,QQQ,31,11,4.233861006095159,0.13657616148694063,3.941,26.087351647191294,,,,,,0.16229554702809396
2026-05-17,crypto,加密,BTC-USD,3,2,2.9266074741857717,0.9755358247285906,0.6249,11.897600968400237,-0.00026554933636246665,-0.0007122158851365,,,,0.2459829911894655
