event_date,industry,industry_label,n_posts,n_kol,influence_sum,sentiment_mean,sentiment_sum,bear_posts,bull_posts,ind_ret_1h,ind_ret_1d,ind_ret_5m,sentiment_dispersion,sig_disagreement_sum,bear_ratio,bull_ratio,kol_breadth_x_bear,y_up,ml_prob_up,ml_split,sig_ml_up_sum
2026-05-06,crypto,加密,2,2,3.834225774782995,0.15405000000000002,0.30810000000000004,0,1,0.0005829037175099001,-0.0174085968313082,-0.00072938951545345,0.13555236995346118,0.13555236995346118,0.0,0.5,-0.5906624806053205,0,0.21894280534506746,test,-0.2810571946549325
2026-05-07,ai_tech,AI / 大模型,11,6,6.154707202365688,0.25564545454545456,2.8121,0,7,0.002969955105658509,0.012243664360821593,0.0010463938963598818,0.33500112645672214,0.33500112645672214,0.0,0.6363636363636364,-0.8582306838234324,1,0.8332864446289897,test,0.3332864446289897
2026-05-07,ai_tools,AI 工具 / Agent,1,1,4.61512051684126,0.2001,0.2001,0,1,-0.0006719346482695,0.0234408408929045,-0.0001573169940046,,0.0,0.0,1.0,-0.923485615419936,1,0.48602468989878445,test,-0.013975310101215555
2026-05-07,crypto,加密,3,1,7.781283164100247,0.18789999999999998,0.5637,0,2,-0.0032445757276402336,0.0022093920105095,-0.00018499504999646668,0.08910897822329689,0.08910897822329689,0.0,0.6666666666666666,-0.48736770217814546,1,0.455916298651561,test,-0.044083701348438975
2026-05-08,ai_tech,AI / 大模型,10,6,11.969350659013577,0.26514000000000004,2.6514,1,7,0.013483431978822649,0.00905972345245957,0.009340023524112789,0.41385392269897997,0.41385392269897997,0.1,0.7,-1.9041321802385163,1,0.7441121300774683,test,0.24411213007746835
2026-05-08,ai_tools,AI 工具 / Agent,2,1,1.130627618100121,0.12525,0.2505,0,1,0.008709187551269,0.01316861414972955,0.004916263720720749,0.1759988778373317,0.1759988778373317,0.0,0.5,-0.07080555458352007,1,0.35125916597933726,test,-0.14874083402066274
2026-05-08,crypto,加密,9,4,18.84390142365626,0.01828888888888889,0.1646,4,4,-0.002001106924381565,0.0059561145630133,-0.0009422247345643302,0.21366640145589366,0.21366640145589366,0.4444444444444444,0.4444444444444444,-0.1531706752757442,1,0.9119157670605579,test,0.4119157670605579
2026-05-09,ai_tech,AI / 大模型,11,7,9.07409936244525,0.2141,2.3551,1,8,-0.0017999582175547,0.0028963874065546,0.0030656195534976994,0.3097137291112553,0.3097137291112553,0.09090909090909091,0.7272727272727273,-1.2363047922269723,1,0.8738463477233679,test,0.3738463477233679
2026-05-09,ai_tools,AI 工具 / Agent,3,2,5.745748134941381,-0.1291,-0.3873,2,1,-0.0017999582175547,0.0028963874065546006,0.0030656195534977,0.2040356831537072,0.2040356831537072,0.6666666666666666,0.3333333333333333,0.49451738948062146,1,0.6249583002508344,test,0.12495830025083443
2026-05-09,crypto,加密,3,3,6.4279868294830775,0.05330000000000001,0.15990000000000001,0,1,-0.00021269432380723337,0.0182802215081221,0.00019078153708220486,0.162487261039135,0.162487261039135,0.0,0.3333333333333333,-0.34261169801144803,1,0.26001996926142895,test,-0.23998003073857105
2026-05-10,ai_tech,AI / 大模型,11,6,9.475687682312607,0.17887272727272727,1.9676,4,7,-0.0017999582175547,0.0028963874065546,0.0030656195534976994,0.36734600063403194,0.36734600063403194,0.36363636363636365,0.6363636363636364,-0.924513871919915,1,0.9230827514288266,test,0.42308275142882656
2026-05-10,ai_tools,AI 工具 / Agent,1,1,0.5653138090500605,-0.2001,-0.2001,1,0,-0.0017999582175547,0.0028963874065546,0.0030656195534977,,0.0,1.0,0.0,0.1131192931909171,1,0.5839026414818425,test,0.08390264148184245
2026-05-10,crypto,加密,1,1,2.1258479144939915,0.2478,0.2478,0,1,-0.0004009291804655,-0.0049992471786796,-0.0003281736921184,,0.0,0.0,1.0,-0.526785113211611,0,0.337635624214321,test,-0.16236437578567903
2026-05-11,ai_tech,AI / 大模型,18,11,18.870714504226655,-0.15132222222222222,-2.7237999999999998,10,7,-0.00113128929679465,-0.007217563007950823,0.002131421044340722,0.43793631628831947,0.43793631628831947,0.5555555555555556,0.3888888888888889,1.7450634994837597,0,0.9970714197445387,test,0.4970714197445387
2026-05-11,crypto,加密,5,3,10.730125744472165,0.13002,0.6501,1,2,9.73010688464791e-05,-0.015304426194186403,0.00017243127614390008,0.32398599043785825,0.32398599043785825,0.2,0.4,-0.8370785695777624,0,0.3026847422458004,test,-0.1973152577541996
