signal,agg,signal_col,description,ret_col,lag_days,n_days,ic,ls_spread,cum_sign_ret,industry,industry_label,max_rank
sig_bear_only,wmean,sig_bear_only_wmean,仅看空情绪 × Influence,ind_ret_1d,1,22,0.3928,0.011011,0.032271,ai_tools,AI 工具 / Agent,all
sig_attention_raw,wmean,sig_attention_raw_wmean,纯 Influence（无情绪）,ind_ret_1d,1,22,0.3759,0.012535,0.042086,ai_tools,AI 工具 / Agent,all
sig_imbalance_contrarian,sum,sig_imbalance_contrarian_sum,情绪方向 × 影响力反转,ind_ret_1d,1,22,0.3474,0.004413,-0.042086,ai_tools,AI 工具 / Agent,all
sig_dispersion_contrarian,sum,sig_dispersion_contrarian_sum,高分歧日 × 情绪反转,ind_ret_1d,1,22,0.3418,4.3e-05,-0.001637,ai_tools,AI 工具 / Agent,all
sig_sentiment_delta_contra,sum,sig_sentiment_delta_contra_sum,情绪突变反转 × 影响力,ind_ret_1d,1,20,0.3373,0.006467,0.016152,ai_tools,AI 工具 / Agent,all
sig_rank1_momentum,sum,sig_rank1_momentum_sum,仅行业 #1 KOL 跟随,ind_ret_1d,1,22,0.325,0.010897,0.088362,ai_tools,AI 工具 / Agent,all
sig_post_burst_contrarian,sum,sig_post_burst_contrarian_sum,发帖密集日 × 情绪反转,ind_ret_1d,1,22,0.2988,-0.005942,-0.077506,ai_tools,AI 工具 / Agent,all
sig_rank_weighted,wmean,sig_rank_weighted_wmean,Sentiment × Influence × Top排名权重,ind_ret_1d,1,22,0.2914,0.009795,0.094485,ai_tools,AI 工具 / Agent,all
sig_attention,sum,sig_attention_sum,Influence × sign(Sentiment),ind_ret_1d,1,22,0.2863,0.012062,0.093958,ai_tools,AI 工具 / Agent,all
sig_bull_fade,sum,sig_bull_fade_sum,仅明显看多帖反转（拥挤做多）,ind_ret_1d,1,22,0.2645,-0.004055,-0.046592,ai_tools,AI 工具 / Agent,all
sig_strong_bull_fade,sum,sig_strong_bull_fade_sum,强看多 (s>0.2) 反转,ind_ret_1d,1,22,0.2554,-0.004055,-0.046592,ai_tools,AI 工具 / Agent,all
sig_consensus_contrarian,sum,sig_consensus_contrarian_sum,行业共识情绪反转（|均值|×影响力）,ind_ret_1d,1,22,0.2431,-0.006302,-0.077506,ai_tools,AI 工具 / Agent,all
sig_contrarian_views,sum,sig_contrarian_views_sum,反转 × log(views),ind_ret_1d,1,22,0.2152,-0.001335,-0.03592,ai_tools,AI 工具 / Agent,all
sig_original_post,wmean,sig_original_post_wmean,非转发帖 × Sentiment × Influence,ind_ret_1d,1,22,0.195,0.006669,0.083075,ai_tools,AI 工具 / Agent,all
sig_bear_crowd,sum,sig_bear_crowd_sum,看空帖占比 × 情绪反转（恐慌反弹）,ind_ret_1d,1,22,0.1747,-0.00121,-0.00803,ai_tools,AI 工具 / Agent,all
sig_extreme_contrarian,sum,sig_extreme_contrarian_sum,仅极端情绪帖（|s|≥0.2）反转,ind_ret_1d,1,22,0.1644,-0.005861,-0.072115,ai_tools,AI 工具 / Agent,all
sig_contrarian,sum,sig_contrarian_sum,−Sentiment × Influence（反转）,ind_ret_1d,1,22,0.1594,-0.005942,-0.094485,ai_tools,AI 工具 / Agent,all
sig_nlp_minus_lex,sum,sig_nlp_minus_lex_sum,NLP 与词典差 × 反转,ind_ret_1d,1,22,0.1594,-0.005942,-0.094485,ai_tools,AI 工具 / Agent,all
sig_engagement,wmean,sig_engagement_wmean,情绪 × 相对自身互动惊喜度,ind_ret_1d,1,22,0.1505,0.006939,0.067199,ai_tools,AI 工具 / Agent,all
sig_contrarian_top3,sum,sig_contrarian_top3_sum,仅Top3 KOL的反转信号（日频 sum）,ind_ret_1d,1,22,0.1431,-0.006741,-0.087868,ai_tools,AI 工具 / Agent,all
sig_contrarian_orig,sum,sig_contrarian_orig_sum,仅原创帖（非 RT）反转,ind_ret_1d,1,22,0.1424,-0.005412,-0.083075,ai_tools,AI 工具 / Agent,all
sig_contrarian_x_viral,sum,sig_contrarian_x_viral_sum,反转 × 互动惊喜度（连续加权）,ind_ret_1d,1,22,0.1421,-0.005386,-0.094485,ai_tools,AI 工具 / Agent,all
sig_momentum,wmean,sig_momentum_wmean,跟随情绪 × 影响力（非反转）,ind_ret_1d,1,22,0.1364,0.006269,0.094485,ai_tools,AI 工具 / Agent,all
sig_baseline,wmean,sig_baseline_wmean,Sentiment × Influence（原版）,ind_ret_1d,1,22,0.1364,0.006269,0.094485,ai_tools,AI 工具 / Agent,all
sig_top_rank_only,wmean,sig_top_rank_only_wmean,仅行业排名前3 KOL,ind_ret_1d,1,22,0.1357,0.006269,0.087868,ai_tools,AI 工具 / Agent,all
sig_views_weighted,wmean,sig_views_weighted_wmean,情绪 × log(views),ind_ret_1d,1,22,0.1297,0.0069,0.083075,ai_tools,AI 工具 / Agent,all
sig_imbalance_contrarian,wmean,sig_imbalance_contrarian_wmean,情绪方向 × 影响力反转,ind_ret_1d,1,22,0.1225,-0.002569,-0.042086,ai_tools,AI 工具 / Agent,all
sig_bull_x_eng,wmean,sig_bull_x_eng_wmean,看多帖 × 互动惊喜（对照）,ind_ret_1d,1,22,0.109,0.00624,0.054295,ai_tools,AI 工具 / Agent,all
sig_surprise_contrarian,sum,sig_surprise_contrarian_sum,相对该 KOL 历史情绪的意外 × 反转,ind_ret_1d,1,22,0.0953,-0.001339,-0.070105,ai_tools,AI 工具 / Agent,all
sig_rt_contrarian,wmean,sig_rt_contrarian_wmean,仅转发帖反转,ind_ret_1d,1,22,0.076,-0.001036,-0.018009,ai_tools,AI 工具 / Agent,all
sig_sentiment_x_likes,wmean,sig_sentiment_x_likes_wmean,Sentiment × log(1+likes),ind_ret_1d,1,22,0.075,0.004763,0.067199,ai_tools,AI 工具 / Agent,all
sig_rt_contrarian,sum,sig_rt_contrarian_sum,仅转发帖反转,ind_ret_1d,1,22,0.064,-0.001036,-0.018009,ai_tools,AI 工具 / Agent,all
sig_viral_contrarian,sum,sig_viral_contrarian_sum,高互动惊喜帖才做情绪反转,ind_ret_1d,1,22,0.0516,-0.006487,-0.058424,ai_tools,AI 工具 / Agent,all
sig_bull_only,wmean,sig_bull_only_wmean,仅看多情绪 × Influence,ind_ret_1d,1,22,0.0304,0.006269,0.056094,ai_tools,AI 工具 / Agent,all
sig_kol_breadth_contrarian,sum,sig_kol_breadth_contrarian_sum,参与 KOL 数 × 情绪反转,ind_ret_1d,1,22,-0.0051,-0.00547,-0.077506,ai_tools,AI 工具 / Agent,all
sig_bull_fade,wmean,sig_bull_fade_wmean,仅明显看多帖反转（拥挤做多）,ind_ret_1d,1,22,-0.0312,-0.003583,-0.046592,ai_tools,AI 工具 / Agent,all
sig_unanimity_contrarian,sum,sig_unanimity_contrarian_sum,低分歧时加强反转（一致预期）,ind_ret_1d,1,22,-0.0404,-0.006302,-0.077506,ai_tools,AI 工具 / Agent,all
sig_strong_bull_fade,wmean,sig_strong_bull_fade_wmean,强看多 (s>0.2) 反转,ind_ret_1d,1,22,-0.0412,-0.003583,-0.046592,ai_tools,AI 工具 / Agent,all
sig_rank_weighted,sum,sig_rank_weighted_sum,Sentiment × Influence × Top排名权重,ind_ret_1d,1,22,-0.08,0.006741,0.094485,ai_tools,AI 工具 / Agent,all
sig_surprise_contrarian,wmean,sig_surprise_contrarian_wmean,相对该 KOL 历史情绪的意外 × 反转,ind_ret_1d,1,22,-0.0891,-0.003337,-0.070105,ai_tools,AI 工具 / Agent,all
sig_extreme_contrarian,wmean,sig_extreme_contrarian_wmean,仅极端情绪帖（|s|≥0.2）反转,ind_ret_1d,1,22,-0.117,-0.008916,-0.072115,ai_tools,AI 工具 / Agent,all
sig_net_crowd_contrarian,sum,sig_net_crowd_contrarian_sum,(看空占比−看多占比) × 情绪反转,ind_ret_1d,1,22,-0.1236,0.006595,0.052293,ai_tools,AI 工具 / Agent,all
sig_contrarian_views,wmean,sig_contrarian_views_wmean,反转 × log(views),ind_ret_1d,1,22,-0.1297,-0.0069,-0.083075,ai_tools,AI 工具 / Agent,all
sig_contrarian_top3,wmean,sig_contrarian_top3_wmean,仅Top3 KOL的反转信号（日频 sum）,ind_ret_1d,1,22,-0.1357,-0.006269,-0.087868,ai_tools,AI 工具 / Agent,all
sig_nlp_minus_lex,wmean,sig_nlp_minus_lex_wmean,NLP 与词典差 × 反转,ind_ret_1d,1,22,-0.1364,-0.006269,-0.094485,ai_tools,AI 工具 / Agent,all
sig_contrarian,wmean,sig_contrarian_wmean,−Sentiment × Influence（反转）,ind_ret_1d,1,22,-0.1364,-0.006269,-0.094485,ai_tools,AI 工具 / Agent,all
sig_bear_crowd_strict,sum,sig_bear_crowd_strict_sum,严格恐慌：bear_ratio>0.5 才 bear_crowd,ind_ret_1d,1,22,-0.1401,-0.001004,-0.007503,ai_tools,AI 工具 / Agent,all
sig_original_post,sum,sig_original_post_sum,非转发帖 × Sentiment × Influence,ind_ret_1d,1,22,-0.1424,0.005412,0.083075,ai_tools,AI 工具 / Agent,all
